,Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O,stockname
0,2019-12-31,1305.0,1305.0,1275.0,1284.1,1284.8,1554.0,80.0,1996572.0,1554.0,100.0,30.0,-20.9,BOM500002
1,2019-12-30,1277.0,1310.0,1260.0,1287.35,1282.7,1492.0,164.0,1913792.0,1492.0,100.0,50.0,10.35,BOM500002
2,2019-12-27,1280.0,1280.0,1250.0,1275.75,1267.39,1830.0,173.0,2319327.0,1830.0,100.0,30.0,-4.25,BOM500002
3,2019-12-26,1265.0,1278.0,1235.0,1268.5,1255.15,2560.0,168.0,3213192.0,2560.0,100.0,43.0,3.5,BOM500002
4,2019-12-24,1278.5,1278.5,1240.0,1255.15,1252.36,1463.0,147.0,1832197.0,1463.0,100.0,38.5,-23.35,BOM500002
5,2019-12-23,1265.0,1284.0,1230.0,1260.95,1258.78,5242.0,440.0,6598516.0,5242.0,100.0,54.0,-4.05,BOM500002
6,2019-12-20,1329.0,1349.0,1262.55,1266.4,1289.88,16760.0,1040.0,21618368.0,16760.0,100.0,86.45,-62.6,BOM500002
7,2019-12-19,1452.0,1483.0,1450.0,1476.8,1469.45,5112.0,929.0,7511842.0,3347.0,65.47,33.0,24.8,BOM500002
8,2019-12-18,1473.6,1475.0,1441.85,1451.15,1454.43,3318.0,662.0,4825793.0,1707.0,51.45,33.15,-22.45,BOM500002
9,2019-12-17,1480.55,1494.0,1467.5,1473.6,1481.17,5085.0,383.0,7531753.0,2509.0,49.34,26.5,-6.95,BOM500002
10,2019-12-16,1486.0,1517.1,1471.1,1479.85,1493.15,6510.0,898.0,9720408.0,1437.0,22.07,46.0,-6.15,BOM500002
11,2019-12-13,1498.8,1522.0,1472.1,1486.2,1500.09,2855.0,422.0,4282756.0,967.0,33.87,49.9,-12.6,BOM500002
12,2019-12-12,1461.55,1491.0,1446.35,1484.25,1476.75,4376.0,748.0,6462266.0,2103.0,48.06,44.65,22.7,BOM500002
13,2019-12-11,1460.0,1469.4,1441.0,1459.85,1455.93,1562.0,391.0,2274158.0,786.0,50.32,28.4,-0.15,BOM500002
