Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O,stockname
2020-06-30,1746.0,1791.9,1746.0,1754.65,1774.92,258320.0,14239.0,458497920.0,94682.0,36.65,45.9,8.65,BOM500010
2020-06-29,1759.5,1770.0,1726.25,1742.5,1736.52,298243.0,14953.0,517905907.0,194523.0,65.22,43.75,-17.0,BOM500010
2020-06-26,1795.0,1798.75,1751.05,1769.85,1756.66,1203784.0,19969.0,2114636479.0,843746.0,70.09,47.7,-25.15,BOM500010
2020-06-25,1775.0,1811.0,1762.4,1780.9,1784.95,207917.0,13353.0,371120462.0,100456.0,48.32,48.6,5.9,BOM500010
2020-06-24,1835.0,1868.2,1788.6,1797.45,1839.4,205306.0,14827.0,377640672.0,48324.0,23.54,79.6,-37.55,BOM500010
2020-06-23,1822.8,1844.0,1803.85,1838.75,1818.17,264300.0,12322.0,480542068.0,171916.0,65.05,40.15,15.95,BOM500010
2020-06-22,1847.0,1874.0,1813.0,1818.3,1838.9,376542.0,20284.0,692424386.0,184232.0,48.93,61.0,-28.7,BOM500010
2020-06-19,1860.0,1866.85,1815.0,1839.1,1836.65,292403.0,12155.0,537040529.0,108114.0,36.97,51.85,-20.9,BOM500010
2020-06-18,1785.25,1867.65,1785.25,1855.15,1827.85,164306.0,10493.0,300326574.0,42227.0,25.7,82.4,69.9,BOM500010
2020-06-17,1805.3,1847.4,1787.65,1794.05,1825.79,321696.0,16786.0,587350036.0,127009.0,39.48,59.75,-11.25,BOM500010
2020-06-16,1785.0,1833.2,1767.75,1822.8,1812.39,453176.0,28016.0,821333594.0,171589.0,37.86,65.45,37.8,BOM500010
2020-06-15,1789.0,1794.25,1726.25,1752.2,1746.35,174895.0,12212.0,305428724.0,77954.0,44.57,68.0,-36.8,BOM500010
2020-06-12,1717.0,1809.6,1711.0,1792.6,1751.64,272203.0,14179.0,476800419.0,144154.0,52.96,98.6,75.6,BOM500010
2020-06-11,1809.0,1825.35,1782.0,1787.1,1800.87,130832.0,7126.0,235611955.0,25631.0,19.59,43.35,-21.9,BOM500010
2020-06-10,1759.05,1819.75,1759.05,1809.75,1797.24,240324.0,14852.0,431920342.0,130876.0,54.46,60.7,50.7,BOM500010
2020-06-09,1769.7,1826.35,1745.7,1771.3,1791.93,286600.0,13460.0,513567084.0,116062.0,40.5,80.65,1.6,BOM500010
2020-06-08,1790.1,1818.05,1748.75,1761.65,1782.92,527197.0,21952.0,939951221.0,260044.0,49.33,69.3,-28.45,BOM500010
2020-06-05,1774.1,1788.15,1740.85,1766.3,1765.57,205082.0,11660.0,362087242.0,55064.0,26.85,47.3,-7.8,BOM500010
2020-06-04,1820.0,1827.95,1759.85,1763.75,1777.59,341238.0,18670.0,606582939.0,161334.0,47.28,68.1,-56.25,BOM500010
2020-06-03,1835.0,1858.0,1823.05,1836.25,1836.27,186760.0,10420.0,342941869.0,55435.0,29.68,34.95,1.25,BOM500010
2020-06-02,1735.1,1821.7,1732.05,1814.75,1782.37,247471.0,15676.0,441083772.0,71736.0,28.99,89.65,79.65,BOM500010
2020-06-01,1700.2,1765.0,1700.2,1737.75,1738.99,495182.0,19222.0,861116538.0,223506.0,45.14,64.8,37.55,BOM500010
2020-05-29,1619.0,1672.0,1590.5,1659.35,1638.46,277844.0,14839.0,455236343.0,46676.0,16.8,81.5,40.35,BOM500010
2020-05-28,1587.0,1643.6,1578.0,1625.55,1624.98,376073.0,18461.0,611110336.0,124327.0,33.06,65.6,38.55,BOM500010
2020-05-27,1515.0,1576.8,1490.0,1571.25,1533.33,374127.0,15864.0,573658851.0,49910.0,13.34,86.8,56.25,BOM500010
2020-05-26,1523.0,1568.0,1486.45,1502.15,1510.26,357244.0,18681.0,539533023.0,77821.0,21.78,81.55,-20.85,BOM500010
2020-05-22,1581.3,1596.0,1500.6,1516.55,1529.68,581450.0,36035.0,889434804.0,224396.0,38.59,95.4,-64.75,BOM500010
2020-05-21,1640.0,1651.0,1590.6,1596.25,1623.03,327931.0,20148.0,532242066.0,165940.0,50.6,60.4,-43.75,BOM500010
2020-05-20,1547.2,1637.9,1544.75,1626.85,1577.3,241537.0,12544.0,380977098.0,106368.0,44.04,93.15,79.65,BOM500010
2020-05-19,1557.0,1591.8,1513.9,1540.4,1549.09,212581.0,16825.0,329308106.0,86927.0,40.89,77.9,-16.6,BOM500010
2020-05-18,1635.6,1636.05,1507.0,1512.1,1547.82,249958.0,24124.0,386890461.0,148983.0,59.6,129.05,-123.5,BOM500010
2020-05-15,1640.2,1657.6,1608.1,1635.6,1633.85,250676.0,13585.0,409566125.0,104901.0,41.85,49.5,-4.6,BOM500010
2020-05-14,1685.0,1692.65,1628.0,1632.5,1658.55,321646.0,20245.0,533464573.0,194690.0,60.53,64.65,-52.5,BOM500010
2020-05-13,1749.0,1750.0,1699.4,1712.85,1720.24,272406.0,13782.0,468604024.0,108501.0,39.83,50.6,-36.15,BOM500010
2020-05-12,1626.0,1681.1,1587.5,1674.75,1619.96,325426.0,11935.0,527178483.0,34380.0,10.56,93.6,48.75,BOM500010
2020-05-11,1715.0,1721.7,1652.45,1658.95,1683.13,479029.0,13433.0,806268094.0,384809.0,80.33,69.25,-56.05,BOM500010
2020-05-08,1735.0,1740.55,1685.65,1689.7,1705.33,164833.0,9754.0,281095117.0,95283.0,57.81,54.9,-45.3,BOM500010
2020-05-07,1748.0,1748.0,1698.2,1703.8,1716.59,125361.0,9391.0,215192932.0,26161.0,20.87,49.8,-44.2,BOM500010
2020-05-06,1709.95,1778.0,1680.0,1732.95,1736.98,295732.0,17036.0,513681300.0,61108.0,20.66,98.0,23.0,BOM500010
2020-05-05,1749.0,1769.0,1678.55,1690.85,1724.63,336852.0,14996.0,580945336.0,187529.0,55.67,90.45,-58.15,BOM500010
2020-05-04,1851.0,1860.0,1708.7,1723.85,1755.28,170132.0,15015.0,298629444.0,68991.0,40.55,151.3,-127.15,BOM500010
2020-04-30,1855.0,1926.4,1855.0,1917.1,1896.26,200558.0,12572.0,380310844.0,41556.0,20.72,71.4,62.1,BOM500010
2020-04-29,1740.0,1845.0,1728.95,1837.0,1805.81,403845.0,21401.0,729268934.0,58231.0,14.42,116.05,97.0,BOM500010
2020-04-28,1600.0,1725.85,1600.0,1715.65,1678.37,224867.0,13488.0,377410211.0,59388.0,26.41,125.85,115.65,BOM500010
2020-04-27,1619.0,1651.45,1585.05,1592.35,1623.37,189865.0,8750.0,308221699.0,65856.0,34.69,66.4,-26.65,BOM500010
