,Date,Open_BOM500002,Open_BOM500003,Open_BOM500008,Open_BOM500009,Open_BOM500010,Open_BOM500012,Open_BOM500013,Open_BOM500014,Open_BOM500020,Open_BOM500023,High_BOM500002,High_BOM500003,High_BOM500008,High_BOM500009,High_BOM500010,High_BOM500012,High_BOM500013,High_BOM500014,High_BOM500020,High_BOM500023,Low_BOM500002,Low_BOM500003,Low_BOM500008,Low_BOM500009,Low_BOM500010,Low_BOM500012,Low_BOM500013,Low_BOM500014,Low_BOM500020,Low_BOM500023,Close_BOM500002,Close_BOM500003,Close_BOM500008,Close_BOM500009,Close_BOM500010,Close_BOM500012,Close_BOM500013,Close_BOM500014,Close_BOM500020,Close_BOM500023,WAP_BOM500002,WAP_BOM500003,WAP_BOM500008,WAP_BOM500009,WAP_BOM500010,WAP_BOM500012,WAP_BOM500013,WAP_BOM500014,WAP_BOM500020,WAP_BOM500023,No. of Shares_BOM500002,No. of Shares_BOM500003,No. of Shares_BOM500008,No. of Shares_BOM500009,No. of Shares_BOM500010,No. of Shares_BOM500012,No. of Shares_BOM500013,No. of Shares_BOM500014,No. of Shares_BOM500020,No. of Shares_BOM500023,No. of Trades_BOM500002,No. of Trades_BOM500003,No. of Trades_BOM500008,No. of Trades_BOM500009,No. of Trades_BOM500010,No. of Trades_BOM500012,No. of Trades_BOM500013,No. of Trades_BOM500014,No. of Trades_BOM500020,No. of Trades_BOM500023,Total Turnover_BOM500002,Total Turnover_BOM500003,Total Turnover_BOM500008,Total Turnover_BOM500009,Total Turnover_BOM500010,Total Turnover_BOM500012,Total Turnover_BOM500013,Total Turnover_BOM500014,Total Turnover_BOM500020,Total Turnover_BOM500023,Deliverable Quantity_BOM500002,Deliverable Quantity_BOM500003,Deliverable Quantity_BOM500008,Deliverable Quantity_BOM500009,Deliverable Quantity_BOM500010,Deliverable Quantity_BOM500012,Deliverable Quantity_BOM500013,Deliverable Quantity_BOM500014,Deliverable Quantity_BOM500020,Deliverable Quantity_BOM500023,% Deli. Qty to Traded Qty_BOM500002,% Deli. Qty to Traded Qty_BOM500003,% Deli. Qty to Traded Qty_BOM500008,% Deli. Qty to Traded Qty_BOM500009,% Deli. Qty to Traded Qty_BOM500010,% Deli. Qty to Traded Qty_BOM500012,% Deli. Qty to Traded Qty_BOM500013,% Deli. Qty to Traded Qty_BOM500014,% Deli. Qty to Traded Qty_BOM500020,% Deli. Qty to Traded Qty_BOM500023,Spread H-L_BOM500002,Spread H-L_BOM500003,Spread H-L_BOM500008,Spread H-L_BOM500009,Spread H-L_BOM500010,Spread H-L_BOM500012,Spread H-L_BOM500013,Spread H-L_BOM500014,Spread H-L_BOM500020,Spread H-L_BOM500023,Spread C-O_BOM500002,Spread C-O_BOM500003,Spread C-O_BOM500008,Spread C-O_BOM500009,Spread C-O_BOM500010,Spread C-O_BOM500012,Spread C-O_BOM500013,Spread C-O_BOM500014,Spread C-O_BOM500020,Spread C-O_BOM500023,Gross_Purchases,Gross_Sales,Net_Investment_INR,Net_Investment_USD,Conversion_Rate,High,Low,Open,Close,Volume,Adj Close
0,2017-01-02,1045.0,129.0,870.05,7.0,1275.0,21.9,15.5,2.5,49.05,,1052.0,132.45,898.95,7.89,1275.0,22.0,16.08,2.5,49.9,,1035.0,129.0,867.6,7.0,1214.15,21.5,14.86,2.3,48.35,,1039.95,131.05,896.2,7.09,1219.25,21.6,15.3,2.37,48.8,,1041.28,130.55,883.17,7.14,1236.81,21.74,15.51,2.33,48.92,,3307.0,16013.0,16226.0,35306.0,197843.0,14409.0,170933.0,6807.0,308616.0,,579.0,276.0,966.0,87.0,5867.0,84.0,1085.0,22.0,2441.0,,3443521.0,2090546.0,14330344.0,252134.0,244694036.0,313189.0,2651541.0,15886.0,15097746.0,,1460.0,9551.0,1971.0,30721.0,42019.0,11151.0,65954.0,5628.0,84182.0,,44.15,59.65,12.15,87.01,21.24,77.39,38.58,82.68,27.28,,17.0,3.45,31.35,0.89,60.85,0.5,1.22,0.2,1.55,,-5.05,2.05,26.15,0.09,-55.75,-0.3,-0.2,-0.13,-0.25,,2230.64,2796.67,-566.03,-83.29,67.9547,,,,,,
1,2017-01-03,1069.9,132.3,900.0,7.04,1220.0,21.9,15.5,2.47,49.0,106.95,1069.9,135.0,900.0,7.3,1222.0,21.9,15.7,2.48,49.8,106.95,1037.9,132.0,882.9,7.04,1201.0,21.1,15.1,2.32,48.55,106.95,1045.05,132.5,890.2,7.25,1215.25,21.7,15.32,2.43,48.8,106.95,1046.8,133.83,888.87,7.2,1212.64,21.69,15.43,2.4,49.08,106.86,950.0,73380.0,7975.0,12894.0,142770.0,23853.0,88484.0,1555.0,202556.0,7.0,187.0,1511.0,668.0,34.0,4078.0,89.0,390.0,10.0,1353.0,1.0,994456.0,9820419.0,7088768.0,92849.0,173128762.0,517347.0,1365394.0,3736.0,9942032.0,748.0,501.0,27261.0,1993.0,11493.0,77968.0,21459.0,57496.0,1255.0,89332.0,7.0,52.74,37.15,24.99,89.13,54.61,89.96,64.98,80.71,44.1,100.0,32.0,3.0,17.1,0.26,21.0,0.8,0.6,0.16,1.25,0.0,-24.85,0.2,-9.8,0.21,-4.75,-0.2,-0.18,-0.04,-0.2,0.0,867.26,1185.97,-318.71,-46.85,68.0225,19938.529296875,19775.9296875,19872.859375,19881.759765625,339180000.0,19881.759765625
2,2017-01-04,1050.0,134.15,892.0,7.13,1215.25,22.5,15.32,2.48,50.25,104.05000000000001,1050.0,134.6,909.25,7.4,1225.0,22.75,15.44,2.5,51.9,104.05000000000001,1033.5,131.25,890.0,7.11,1197.55,21.25,15.12,2.35,50.25,104.025,1037.35,131.75,898.5,7.26,1212.5,22.75,15.28,2.47,50.9,104.025,1041.21,133.04,899.18,7.26,1218.04,22.63,15.3,2.48,51.07,103.99000000000001,1518.0,22947.0,14784.0,21814.0,584379.0,58983.0,28090.0,2295.0,621794.0,16.0,188.0,366.0,1331.0,55.0,2793.0,201.0,123.0,12.0,4198.0,1.5,1580554.0,3052763.0,13293404.0,158327.0,711798961.0,1335073.0,429796.0,5686.0,31756932.0,1638.0,851.0,14109.0,3564.0,18300.0,539272.0,43833.0,23674.0,2219.0,198646.0,16.0,56.06,61.49,24.11,83.89,92.28,74.31,84.28,96.69,31.95,100.0,16.5,3.35,19.25,0.29,27.45,1.5,0.32,0.15,1.65,0.025,-12.65,-2.4,6.5,0.13,-2.75,0.25,-0.04,-0.01,0.65,-0.025,1863.97,2400.72,-536.75,-78.84,68.0864,19956.140625,19878.830078125,19890.939453125,19942.16015625,280010000.0,19942.16015625
3,2017-01-05,1051.9,132.0,905.0,7.02,1225.0,23.7,15.43,2.34,51.25,101.15,1051.9,133.25,935.25,7.5,1225.0,23.85,15.52,2.49,54.4,101.15,1029.55,130.0,900.0,7.02,1205.3,22.9,15.26,2.33,51.2,101.1,1031.45,131.65,916.35,7.34,1216.55,23.85,15.48,2.41,53.85,101.1,1032.5,131.79,922.85,7.32,1213.73,23.7,15.43,2.37,53.34,101.12,7993.0,45711.0,53090.0,9478.0,87123.0,53309.0,27934.0,12397.0,714957.0,25.0,1121.0,834.0,3070.0,34.0,3068.0,140.0,128.0,37.0,4675.0,2.0,8252762.0,6024207.0,48994100.0,69378.0,105743787.0,1263400.0,430992.0,29441.0,38132909.0,2528.0,3974.0,26998.0,14755.0,6899.0,20362.0,39329.0,21333.0,8633.0,232928.0,25.0,49.72,59.06,27.79,72.79,23.37,73.78,76.37,69.64,32.58,100.0,22.35,3.25,35.25,0.48,19.7,0.95,0.26,0.16,3.2,0.05,-20.45,-0.35,11.35,0.32,-8.45,0.15,0.05,0.07,2.6,-0.05,3534.18,4226.17,-691.99,-101.5,68.1791,19948.599609375,19811.119140625,19924.560546875,19899.2890625,269920000.0,19899.2890625
4,2017-01-06,1037.0,132.9,916.35,7.35,1216.55,24.9,15.26,2.36,54.2,101.16666666666667,1048.0,133.0,932.15,7.55,1232.4,25.0,15.45,2.45,54.35,101.76666666666667,1035.55,129.55,915.0,7.21,1216.55,23.0,15.01,2.35,52.75,101.13333333333333,1043.9,130.1,928.05,7.4,1222.15,24.95,15.11,2.45,53.3,101.73333333333333,1040.8,131.08,925.7,7.41,1226.34,24.44,15.22,2.39,53.31,101.44333333333334,2160.0,26769.0,17179.0,13700.0,183981.0,167102.0,43693.0,4700.0,273525.0,40.0,411.0,542.0,1444.0,39.0,2595.0,464.0,137.0,15.0,1906.0,2.6666666666666665,2248126.0,3508920.0,15902644.0,101474.0,225623648.0,4083835.0,665056.0,11229.0,14581560.0,4067.333333333333,1256.0,13193.0,2110.0,11660.0,150919.0,118287.0,31945.0,4100.0,106583.0,28.333333333333332,58.15,49.28,12.28,85.11,82.03,70.79,73.11,87.23,38.97,83.33333333333333,12.45,3.45,17.15,0.34,15.85,2.0,0.44,0.1,1.6,0.6333333333333334,6.9,-2.8,11.7,0.05,5.6,0.05,-0.15,0.09,-0.9,0.5666666666666667,4542.58,4581.72,-39.14,-5.77,67.7884,19999.630859375,19834.080078125,19906.9609375,19963.80078125,277700000.0,19963.80078125
5,2017-01-09,1047.95,130.9,931.85,7.5,1232.5,24.95,15.0,2.49,53.7,101.18333333333334,1048.0,132.2,935.9,8.88,1232.5,25.6,15.6,2.72,54.85,102.38333333333334,1037.0,129.55,900.05,7.15,1213.65,24.05,15.0,2.35,53.35,101.16666666666667,1041.95,131.65,903.3,8.88,1222.25,25.1,15.4,2.68,54.2,102.36666666666666,1043.33,131.24,918.91,8.65,1222.62,24.78,15.42,2.5,54.16,101.76666666666667,2264.0,17716.0,23480.0,127560.0,31659.0,111966.0,46774.0,3596.0,242205.0,55.0,369.0,419.0,2759.0,166.0,1601.0,441.0,130.0,18.0,1601.0,3.333333333333333,2362101.0,2324965.0,21576098.0,1103703.0,38706854.0,2774111.0,721364.0,9004.0,13117178.0,5606.666666666666,1369.0,9828.0,7026.0,117040.0,9179.0,79762.0,38901.0,3481.0,70217.0,31.666666666666668,60.47,55.48,29.92,91.75,28.99,71.24,83.17,96.8,28.99,66.66666666666666,11.0,2.65,35.85,1.73,18.85,1.55,0.6,0.37,1.5,1.2166666666666668,-6.0,0.75,-28.55,1.38,-10.25,0.15,0.4,0.19,0.5,1.1833333333333333,3510.82,3827.44,-316.62,-46.59,67.9522,19943.779296875,19887.380859375,19931.41015625,19887.380859375,287510000.0,19887.380859375
6,2017-01-10,1045.0,131.95,901.0,9.7,1229.75,26.0,15.06,2.75,54.5,101.2,1199.0,136.7,912.0,10.4,1229.75,26.35,15.6,2.85,55.0,103.0,1031.0,131.95,896.0,9.3,1213.2,25.05,15.06,2.55,53.75,101.2,1176.0,136.15,904.3,9.58,1216.45,26.35,15.5,2.78,54.7,103.0,1155.54,135.38,902.35,9.81,1218.26,25.94,15.42,2.71,54.34,102.09,139600.0,55653.0,9699.0,253405.0,56620.0,193584.0,12849.0,7329.0,285170.0,70.0,12842.0,979.0,1697.0,522.0,3450.0,473.0,77.0,32.0,1375.0,4.0,161313259.0,7534087.0,8751898.0,2486764.0,68977643.0,5021175.0,198191.0,19834.0,15497511.0,7146.0,14868.0,25677.0,3585.0,169452.0,18827.0,112694.0,9491.0,7029.0,144693.0,35.0,10.65,46.14,36.96,66.87,33.25,58.21,73.87,95.91,50.74,50.0,168.0,4.75,16.0,1.1,16.55,1.3,0.54,0.3,1.25,1.8,131.0,4.2,3.3,-0.12,-13.3,0.35,0.44,0.03,0.2,1.8,2202.62,2588.1,-385.48,-56.53,68.1863,19957.119140625,19836.029296875,19876.349609375,19855.529296875,299410000.0,19855.529296875
7,2017-01-11,1166.9,137.0,908.0,9.67,1220.0,26.75,15.4,2.5,54.85,102.125,1169.95,140.0,912.0,9.67,1232.45,26.75,15.74,2.84,55.9,103.075,1102.5,137.0,901.0,9.01,1219.15,25.1,15.1,2.5,54.2,101.67500000000001,1132.15,139.15,906.95,9.07,1228.95,26.4,15.2,2.63,55.0,102.575,1144.85,138.59,906.73,9.21,1226.86,26.11,15.34,2.59,55.07,102.49000000000001,57060.0,60580.0,12831.0,55185.0,57705.0,159176.0,48730.0,16510.0,289510.0,139.0,5254.0,890.0,716.0,142.0,2866.0,455.0,222.0,33.0,1801.0,5.0,65325400.0,8396007.0,11634308.0,508118.0,70796112.0,4156118.0,747306.0,42773.0,15943801.0,14273.5,10078.0,29947.0,4379.0,49743.0,22716.0,94905.0,31211.0,13678.0,78352.0,84.0,17.66,49.43,34.13,90.14,39.37,59.62,64.05,82.85,27.06,56.97,67.45,3.0,11.0,0.66,13.3,1.65,0.64,0.34,1.7,1.4,-34.75,2.15,-1.05,-0.6,8.95,-0.35,-0.2,0.13,0.15,0.44999999999999996,3597.89,3703.5,-105.61,-15.51,68.0641,19973.419921875,19833.16015625,19887.380859375,19954.279296875,336150000.0,19954.279296875
8,2017-01-12,1139.75,140.2,910.0,9.07,1234.0,26.35,15.25,2.56,55.2,103.05,1150.0,140.9,914.9,9.07,1242.5,26.6,15.48,2.72,55.4,103.15,1111.0,136.6,891.8,8.5,1216.55,25.75,15.16,2.5,53.45,102.15,1122.1,139.1,896.6,8.68,1220.1,25.85,15.26,2.65,53.95,102.15,1129.27,139.66,899.02,8.81,1225.78,25.98,15.25,2.55,54.24,102.89,15266.0,19281.0,8640.0,53818.0,75488.0,104737.0,14808.0,2475.0,186662.0,208.0,2229.0,338.0,968.0,162.0,3538.0,191.0,139.0,16.0,1159.0,6.0,17239478.0,2692759.0,7767523.0,474028.0,92531482.0,2721400.0,225822.0,6307.0,10125287.0,21401.0,4009.0,6880.0,2018.0,45212.0,28760.0,80806.0,10909.0,2385.0,75540.0,133.0,26.26,35.68,23.36,84.01,38.1,77.15,73.67,96.36,40.47,63.94,39.0,4.3,23.1,0.57,25.95,0.85,0.32,0.22,1.95,1.0,-17.65,-1.1,-13.4,-0.39,-13.9,-0.5,0.01,0.09,-1.25,-0.9,3934.44,4612.64,-678.2,-99.41,68.2276,19929.2890625,19770.470703125,19926.2109375,19891.0,306290000.0,19891.0
9,2017-01-13,1130.0,140.1,900.0,8.94,1222.0,26.4,15.47,2.48,54.2,102.35,1144.9,140.1,911.55,9.4,1248.5,26.4,15.48,2.79,54.25,107.95,1111.35,138.0,896.0,8.5,1222.0,25.1,14.96,2.48,52.8,102.3,1130.85,138.8,900.85,9.01,1244.1,25.75,15.02,2.76,53.15,102.55,1127.33,139.06,902.92,9.03,1241.76,25.55,15.05,2.61,53.36,105.1,8239.0,9797.0,10537.0,71749.0,44493.0,41905.0,29476.0,13773.0,271553.0,807.0,1233.0,218.0,814.0,130.0,2988.0,187.0,97.0,31.0,1126.0,9.0,9288059.0,1362402.0,9514117.0,648137.0,55249790.0,1070875.0,443518.0,35892.0,14489510.0,84819.0,2118.0,3855.0,3173.0,60704.0,13438.0,29431.0,25544.0,11845.0,44633.0,5.0,25.71,39.35,30.11,84.61,30.2,70.23,86.66,86.0,16.44,0.62,33.55,2.1,15.55,0.9,26.5,1.3,0.52,0.31,1.45,5.65,0.85,-1.3,0.85,0.07,22.1,-0.65,-0.45,0.28,-1.05,0.2,3314.48,3317.46,-2.98,-0.44,68.0858,19952.029296875,19849.380859375,19912.5390625,19885.73046875,263780000.0,19885.73046875
