Date,Gross Purchases(Rs Crore),Gross Sales(Rs Crore),Net Investment (Rs Crore),Net Investment US($) million,Conversion (1 USD to INR)
2020-06-30,5411.14,5512.32,-101.18,-13.39,75.568
2020-06-29,4723.4,5706.64,-983.24,-130.27,75.4757
2020-06-26,6418.92,6906.27,-487.35,-64.43,75.6349
2020-06-25,6681.0,5791.03,889.97,117.55,75.7087
2020-06-24,5041.59,4912.04,129.55,17.1,75.7549
2020-06-23,5704.77,5108.47,596.3,78.4,76.062
2020-06-22,14544.56,13290.37,1254.19,164.56,76.2144
2020-06-19,5105.72,4549.11,556.61,73.09,76.1509
2020-06-18,5709.94,5714.46,-4.52,-0.59,76.2032
2020-06-17,4615.19,6090.06,-1474.87,-194.47,75.84100000000001
2020-06-16,2941.57,5880.96,-2939.39,-386.23,76.1056
2020-06-15,3681.7,4905.71,-1224.01,-161.11,75.973
2020-06-12,3781.44,4534.65,-753.21,-99.38,75.7907
2020-06-11,5028.45,5393.93,-365.48,-48.43,75.4688
2020-06-10,6464.86,5988.88,475.98,63.05,75.4931
2020-06-09,6339.08,5286.73,1052.35,139.14,75.6307
2020-06-08,4610.42,4544.42,66.0,8.75,75.4665
2020-06-05,8380.57,5756.38,2624.19,347.44,75.529
2020-06-04,10111.12,7943.59,2167.53,287.75,75.32600000000001
2020-06-03,12566.92,4676.45,7890.47,1043.89,75.5871
2020-06-02,7982.4,6249.09,1733.31,229.64,75.4792
2020-06-01,25171.78,23967.09,1204.69,159.27,75.6369
2020-05-29,8835.62,6839.95,1995.67,263.45,75.7501
2020-05-28,6152.98,6319.42,-166.44,-22.0,75.6476
2020-05-27,11762.32,6980.24,4782.08,632.21,75.6404
2020-05-26,4422.19,5551.69,-1129.5,-149.04,75.7868
2020-05-22,5981.04,6185.63,-204.59,-27.0,75.7785
2020-05-21,4202.61,5886.47,-1683.86,-222.52,75.6712
2020-05-20,5081.4,6419.83,-1338.43,-176.89,75.6638
2020-05-19,4680.85,7203.37,-2522.52,-332.2,75.9345
2020-05-18,3866.3,6388.54,-2522.24,-333.79,75.5634
2020-05-15,4622.58,6953.91,-2331.33,-309.02,75.444
2020-05-14,6489.62,6358.57,131.05,17.38,75.3885
2020-05-13,6157.26,7996.48,-1839.22,-242.66,75.7944
2020-05-12,5440.63,4791.93,648.7,85.71,75.6838
2020-05-11,5944.2,3761.56,2182.64,289.32,75.4411
2020-05-08,26392.08,9269.34,17122.74,2262.19,75.6911
2020-05-06,4813.83,5131.52,-317.69,-42.04,75.5715
2020-05-05,5775.73,6709.1,-933.37,-123.15,75.7902
2020-05-04,9655.67,6882.77,2772.9,369.15,75.115
2020-04-30,5587.52,4802.37,785.15,103.72,75.6961
2020-04-29,4958.72,4906.41,52.31,6.85,76.37100000000001
2020-04-28,3983.52,4752.72,-769.2,-101.04,76.1269
2020-04-27,5722.78,5848.5,-125.72,-16.45,76.4173
2020-04-24,6570.24,6087.2,483.04,63.5,76.0635
2020-04-23,5851.2,6642.65,-791.45,-103.04,76.8084
2020-04-22,4301.57,6132.76,-1831.19,-238.9,76.6516
2020-04-21,5809.18,5710.1,99.08,12.93,76.6335
2020-04-20,7681.96,8644.77,-962.81,-125.78,76.5444
2020-04-17,6856.45,9447.72,-2591.27,-337.67,76.7408
2020-04-16,13726.79,12815.85,910.94,119.43,76.2743
2020-04-15,4021.96,5082.07,-1060.11,-138.83,76.3617
